,missing_pattern,imputation_method,metric,bp,hr,rr,spo2,tmp,sum_error
0,mar,locf,mae,"(7.71, 7.678, 7.741)","(8.127, 8.097, 8.156)","(2.896, 2.876, 2.917)","(1.557, 1.545, 1.57)","(0.554, 0.538, 0.571)","(20.844, 20.79, 20.899)"
1,mar,locf,mse,"(115.372, 113.755, 116.989)","(161.973, 158.906, 165.04)","(32.822, 24.443, 41.202)","(8.537, 8.028, 9.046)","(2.703, 2.464, 2.942)","(321.407, 314.15, 328.664)"
2,mar,median,mae,"(14.0, 13.974, 14.025)","(30.837, 30.81, 30.864)","(9.442, 9.309, 9.576)","(2.473, 2.464, 2.481)","(0.771, 0.766, 0.776)","(57.522, 57.386, 57.659)"
3,mar,median,mse,"(312.348, 311.041, 313.654)","(1251.465, 1248.747, 1254.184)","(150.046, 140.726, 159.366)","(14.871, 14.606, 15.136)","(2.964, 2.894, 3.034)","(1731.695, 1722.055, 1741.334)"
4,mcar,locf,mae,"(5.842, 5.748, 5.936)","(6.905, 6.846, 6.965)","(2.75, 2.666, 2.834)","(1.443, 1.422, 1.464)","(0.443, 0.433, 0.452)","(17.383, 17.314, 17.452)"
5,mcar,locf,mse,"(71.916, 68.806, 75.026)","(108.942, 105.546, 112.338)","(57.19, 24.197, 90.183)","(6.928, 6.477, 7.379)","(1.75, 1.591, 1.909)","(246.726, 213.713, 279.738)"
6,mcar,median,mae,"(12.929, 12.843, 13.015)","(23.953, 23.834, 24.072)","(9.735, 9.496, 9.973)","(3.01, 2.983, 3.037)","(0.754, 0.748, 0.76)","(50.38, 50.005, 50.755)"
7,mcar,median,mse,"(265.438, 260.371, 270.505)","(827.633, 819.507, 835.76)","(241.724, 213.36, 270.088)","(26.181, 25.546, 26.815)","(2.592, 2.484, 2.7)","(1363.569, 1327.453, 1399.684)"
8,mnar,locf,mae,"(6.566, 6.503, 6.63)","(8.522, 8.478, 8.567)","(3.873, 3.812, 3.934)","(1.998, 1.972, 2.024)","(0.664, 0.657, 0.672)","(21.624, 21.557, 21.69)"
9,mnar,locf,mse,"(91.68, 88.658, 94.702)","(168.798, 166.637, 170.959)","(443.483, 439.654, 447.313)","(10.905, 10.502, 11.307)","(2.797, 2.684, 2.909)","(717.663, 714.856, 720.47)"
10,mnar,median,mae,"(13.169, 13.169, 13.169)","(25.942, 25.942, 25.942)","(11.612, 11.612, 11.612)","(3.031, 3.031, 3.031)","(0.729, 0.729, 0.729)","(54.483, 54.483, 54.483)"
11,mnar,median,mse,"(284.019, 284.019, 284.019)","(990.337, 990.337, 990.337)","(668.51, 668.51, 668.51)","(21.943, 21.943, 21.943)","(2.24, 2.24, 2.24)","(1967.049, 1967.049, 1967.049)"
